web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1679937138-1","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","00:00","Nubes dispersas","20°","26 km/h","83%","1021 hPa",""
"1679937138-2","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","null","null","null","null","null","null",""
"1679937138-3","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","00:30","Parcialmente cubierto","20°","30 km/h","83%","1021 hPa",""
"1679937138-4","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","01:00","Parcialmente cubierto","20°","30 km/h","83%","1021 hPa",""
"1679937138-5","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","01:30","Parcialmente cubierto","20°","30 km/h","83%","1021 hPa",""
"1679937138-6","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","02:00","Parcialmente cubierto","20°","28 km/h","78%","1020 hPa",""
"1679937138-7","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","02:30","Parcialmente cubierto","20°","26 km/h","78%","1020 hPa",""
"1679937138-8","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","03:00","Parcialmente cubierto","20°","26 km/h","78%","1020 hPa",""
"1679937138-9","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","03:30","Parcialmente cubierto","19°","28 km/h","83%","1020 hPa",""
"1679937138-10","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","04:00","Parcialmente cubierto","19°","24 km/h","83%","1020 hPa",""
"1679937138-11","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","04:30","Nubes dispersas","19°","22 km/h","78%","1020 hPa",""
"1679937138-12","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","05:00","Parcialmente cubierto","19°","22 km/h","78%","1020 hPa",""
"1679937138-13","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","05:30","Mayormente cubierto","19°","20 km/h","78%","1020 hPa",""
"1679937138-14","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","06:00","Parcialmente cubierto","19°","24 km/h","78%","1020 hPa",""
"1679937138-15","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","06:30","Parcialmente cubierto","19°","24 km/h","78%","1021 hPa",""
"1679937138-16","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","07:00","Parcialmente cubierto","19°","26 km/h","78%","1021 hPa",""
"1679937138-17","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","07:30","Mayormente cubierto","19°","24 km/h","78%","1021 hPa",""
"1679937138-18","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","08:00","Mayormente cubierto","19°","24 km/h","78%","1021 hPa",""
"1679937138-19","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","08:30","Mayormente cubierto","20°","24 km/h","73%","1021 hPa",""
"1679937138-20","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","09:00","Mayormente cubierto","20°","30 km/h","73%","1021 hPa",""
"1679937138-21","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","09:30","Mayormente cubierto","21°","33 km/h","69%","1022 hPa",""
"1679937138-22","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","10:00","Mayormente cubierto","21°","33 km/h","69%","1022 hPa",""
"1679937138-23","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","10:30","Mayormente cubierto","22°","33 km/h","64%","1022 hPa",""
"1679937138-24","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","11:00","Mayormente cubierto","22°","35 km/h","64%","1023 hPa",""
"1679937138-25","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","11:30","Mayormente cubierto","22°","35 km/h","64%","1022 hPa",""
"1679937138-26","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","12:00","Mayormente cubierto","23°","35 km/h","61%","1022 hPa",""
"1679937138-27","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","12:30","Mayormente cubierto","22°","35 km/h","64%","1022 hPa",""
"1679937138-28","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","13:00","Parcialmente cubierto","22°","33 km/h","64%","1021 hPa",""
"1679937138-29","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","13:30","Nubes dispersas","22°","37 km/h","64%","1021 hPa",""
"1679937138-30","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","14:00","Nubes dispersas","23°","37 km/h","65%","1020 hPa",""
"1679937138-31","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","14:30","Nubes dispersas","22°","33 km/h","64%","1020 hPa",""
"1679937138-32","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","15:00","Nubes dispersas","22°","35 km/h","69%","1020 hPa",""
"1679937138-33","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","15:30","Nubes dispersas","22°","39 km/h","69%","1020 hPa",""
"1679937138-34","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","16:00","Nubes dispersas","22°","37 km/h","64%","1020 hPa",""
"1679937138-35","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","16:30","Parcialmente cubierto","22°","39 km/h","60%","1020 hPa",""
"1679937138-36","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","17:00","Nubes dispersas","22°","35 km/h","64%","1020 hPa",""
"1679937138-37","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","17:30","Nubes dispersas","21°","37 km/h","69%","1020 hPa",""
"1679937138-38","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","18:00","Nubes dispersas","20°","32 km/h","68%","1020 hPa",""
"1679937138-39","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","18:30","Nubes dispersas","20°","32 km/h","68%","1020 hPa",""
"1679937138-40","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","19:00","Nubes dispersas","20°","28 km/h","68%","1020 hPa",""
"1679937138-41","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","19:30","Nubes dispersas","20°","28 km/h","68%","1020 hPa",""
"1679937138-42","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","20:00","Nubes dispersas","20°","22 km/h","68%","1020 hPa",""
"1679937138-43","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","20:30","Nubes dispersas","20°","22 km/h","64%","1020 hPa",""
"1679937138-44","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","21:00","Nubes dispersas","19°","19 km/h","68%","1020 hPa",""
"1679937138-45","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","21:30","Nubes dispersas","19°","17 km/h","68%","1020 hPa",""
"1679937138-46","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","22:00","Nubes dispersas","19°","19 km/h","64%","1020 hPa",""
"1679937138-47","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","22:30","Nubes dispersas","19°","17 km/h","68%","1020 hPa",""
"1679937138-48","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","23:00","Nubes dispersas","19°","17 km/h","68%","1020 hPa",""
"1679937138-49","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","23:30","Nubes dispersas","18°","19 km/h","73%","1020 hPa",""
"1679937141-50","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","00:00","Nubes dispersas","19°","19 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-51","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-52","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","00:30","Nubes dispersas","19°","24 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-53","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","01:00","Parcialmente cubierto","19°","19 km/h","68%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-54","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","01:30","Nubes dispersas","19°","17 km/h","68%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-55","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","02:00","Nubes dispersas","20°","20 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-56","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","02:30","Nubes dispersas","20°","22 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-57","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","03:00","Nubes dispersas","20°","26 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-58","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","03:30","Nubes dispersas","20°","26 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-59","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","04:00","Parcialmente cubierto","19°","22 km/h","73%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-60","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","04:30","Parcialmente cubierto","19°","24 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-61","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","05:00","Parcialmente cubierto","19°","28 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-62","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","05:30","Parcialmente cubierto","19°","24 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-63","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","06:00","Parcialmente cubierto","19°","19 km/h","73%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-64","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","06:30","Nubes dispersas","18°","15 km/h","77%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-65","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","07:00","Parcialmente cubierto","19°","22 km/h","68%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-66","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","07:30","Nubes dispersas","19°","17 km/h","73%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-67","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","08:00","Parcialmente cubierto","19°","20 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-68","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","08:30","Mayormente cubierto","20°","20 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-69","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","09:00","Mayormente cubierto","20°","22 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-70","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","09:30","Mayormente cubierto","20°","26 km/h","73%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-71","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","10:00","Lluvia ligera","18°","32 km/h","88%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-72","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","10:30","Mayormente cubierto","19°","15 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-73","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","11:00","Mayormente cubierto","21°","26 km/h","69%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-74","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","11:30","Mayormente cubierto","21°","26 > 46 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-75","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","12:00","Mayormente cubierto","22°","35 km/h","57%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-76","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","12:30","Parcialmente cubierto","23°","32 km/h","57%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-77","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","13:00","Parcialmente cubierto","23°","35 km/h","53%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-78","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","13:30","Nubes dispersas","23°","37 km/h","50%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-79","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","14:00","Nubes dispersas","22°","37 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-80","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","14:30","Parcialmente cubierto","22°","35 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-81","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","15:00","Parcialmente cubierto","22°","28 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-82","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","15:30","Parcialmente cubierto","22°","30 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-83","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","16:00","Parcialmente cubierto","22°","26 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-84","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","16:30","Parcialmente cubierto","21°","28 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-85","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","17:00","Parcialmente cubierto","21°","15 km/h","56%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-86","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","17:30","Nubes dispersas","21°","24 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-87","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","18:00","Nubes dispersas","20°","26 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-88","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","18:30","Parcialmente cubierto","20°","32 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-89","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","19:00","Parcialmente cubierto","19°","30 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-90","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","19:30","Lluvia ligera","18°","30 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-91","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:00","Parcialmente cubierto","18°","19 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-92","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:30","Lluvia ligera","18°","22 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-93","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:40","Lluvia","18°","22 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-94","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:00","Lluvia","17°","15 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-95","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:30","Mayormente cubierto","17°","20 km/h","82%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-96","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:45","Lluvia","18°","24 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-97","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","22:00","Lluvia","18°","19 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-98","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","22:30","Lluvia","17°","19 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-99","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","23:00","Mayormente cubierto","18°","15 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937141-100","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","23:30","Lluvia ligera","18°","20 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679937145-101","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:00","Mayormente cubierto","17°","19 km/h","82%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-102","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-103","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:10","Lluvia","18°","19 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-104","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:30","Lluvia","17°","17 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-105","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","01:00","Lluvia ligera","18°","22 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-106","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","01:30","Lluvia ligera","17°","19 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-107","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","02:00","Mayormente cubierto","17°","15 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-108","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","02:30","Mayormente cubierto","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-109","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","03:00","Mayormente cubierto","18°","15 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-110","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","03:30","Lluvia ligera","17°","11 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-111","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","03:44","Lluvia","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-112","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","04:00","Llovizna","17°","20 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-113","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","04:30","Llovizna","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-114","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","05:00","Llovizna","18°","15 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-115","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","05:30","Mayormente cubierto","18°","11 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-116","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","05:48","Lluvia","18°","11 km/h","68%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-117","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","06:00","Llovizna","17°","13 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-118","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","06:30","Mayormente cubierto","17°","13 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-119","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","07:00","Mayormente cubierto","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-120","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","07:30","Lluvia ligera","18°","11 km/h","73%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-121","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","08:00","Mayormente cubierto","18°","13 km/h","73%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-122","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","08:30","Mayormente cubierto","18°","11 km/h","73%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-123","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","09:00","Mayormente cubierto","19°","19 km/h","64%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-124","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","09:30","Mayormente cubierto","19°","24 km/h","64%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-125","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","10:00","Mayormente cubierto","19°","20 km/h","60%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-126","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","10:30","Mayormente cubierto","20°","17 km/h","60%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-127","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","11:00","Parcialmente cubierto","21°","30 km/h","49%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-128","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","11:30","Parcialmente cubierto","21°","35 km/h","49%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679937145-129","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","12:00","Parcialmente cubierto","21°","26 > 44 km/h","56%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
